"ms","ms_name","fund","year","planned_eu_amount","n_3_decommitment_amount","net_planned_eu_amount","cumulative_initial_pre_financing","cumulative_additional_initial_pre_financing","recovery_of_initial_pre_financing","net_initial_pre_financing","cumulative_annual_pre_financing","annual_pre_financing_covered_by_expenditure","recovery_of_annual_pre_financing","net_annual_pre_financing","cumulative_interim_payments","recovery_of_expenses","net_interim_payments","total_net_payments","eu_payment_rate","eu_payment_rate_on_planned_eu_amount"
"SK","Slovakia","TOTAL","2020","10961082510","-38892342","10922190168","325105019.97","0","0","325105019.97","1425104719.71","89628556.69","724405509.33","611070653.69","3543060027.83","32619701.18","3600068883.34","4536244557","41.53","41.39"
"PT","Portugal","CF","2016","2861742164","0","2861742164","94151317.19","0","0","94151317.19","53800752.68","0","0","53800752.68","39981122.93","0","39981122.93","187933192.8","6.57","6.57"
"PL","Poland","CF","2014","23207989042","0","23207989042","7001233.63","0","0","7001233.63","0","0","0","0","0","0","0","7001233.63","0.03","0.03"
"DE","Germany","TOTAL","2015","10773842813","0","10773842813","202548244.78","0","0","202548244.78","0","0","0","0","0","0","0","202548244.78","1.88","1.88"
"NL","Netherlands","ERDF","2020","510282703","0","510282703","14306374.02","0","0","14306374.02","63426830.02","9313440.23","32150465.08","21962924.71","191573477.49","0","200886917.72","237156216.45","46.48","46.48"
"CZ","Czechia","CF","2015","6258925722","0","6258925722","117667803.58","0","0","117667803.58","0","0","0","0","0","0","0","117667803.58","1.88","1.88"
"HR","Croatia","CF","2017","2509755644","0","2509755644","72179196.39","0","0","72179196.39","111276261.1","0","48119464.26","63156796.84","0","0","0","135335993.23","5.39","5.39"
"CZ","Czechia","ERDF","2020","11700268631","0","11700268631","336727447.59","0","0","336727447.59","1487212893.53","219812948.09","779661090.65","487738854.79","5244364967.89","15959292.83","5448218623.15","6272684925.53","53.61","53.61"
"SI","Slovenia","ERDF","2014","1390392899","0","1390392899","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FI","Finland","ERDF","2019","791976209","0","791976209","22252604.61","0","0","22252604.61","76181840.74","13914459.75","40864223.98","21403157.01","332936165.4","0","346850625.15","390506386.77","49.31","49.31"
"EE","Estonia","CF","2014","1073321882","0","1073321882","10089225.69","0","0","10089225.69","0","0","0","0","0","0","0","10089225.69","0.94","0.94"
"SK","Slovakia","ERDF","2016","7360295382","0","7360295382","207560329.74","0","0","207560329.74","138373553.16","0","0","138373553.16","94610606.91","0","94610606.91","440544489.81","5.99","5.99"
"BG","Bulgaria","ERDF","2017","3567667612","0","3567667612","100608226.62","0","0","100608226.62","155104349.4","3767144.99","63305006.09","88032198.32","464223261.11","0","467990406.1","656630831.04","18.41","18.41"
"SI","Slovenia","TOTAL","2016","2285763262","0","2285763262","64458524.01","0","0","64458524.01","42972349.34","0","0","42972349.34","25484579.14","0","25484579.14","132915452.49","5.81","5.81"
"SE","Sweden","TOTAL","2016","944998230","0","944998230","26648949","0","0","26648949","17765966","0","0","17765966","44236589.52","0","44236589.52","88651504.52","9.38","9.38"
"SI","Slovenia","ERDF","2016","1390392899","0","1390392899","39209079.75","0","0","39209079.75","26139386.5","0","0","26139386.5","0","0","0","65348466.25","4.7","4.7"
"SE","Sweden","ERDF","2014","936493246","0","936493246","6762605","0","0","6762605","0","0","0","0","0","0","0","6762605","0.72","0.72"
"AT","Austria","ERDF","2021","660082451","0","660082451","28742831.54","0","0","28742831.54","79993090.95","7406120.63","45697305.45","26889664.87","243431858.95","0","250837979.58","306470475.99","46.43","46.43"
"CY","Cyprus","ERDF","2015","292099018","0","292099018","8242832.32","0","0","8242832.32","0","0","0","0","0","0","0","8242832.32","2.82","2.82"
